gcf_id,Category
NRPS_gcf_1551,NRPS
NRPS_gcf_1552,NRPS
NRPS_gcf_1553,NRPS
NRPS_gcf_1554,NRPS
NRPS_gcf_1555,NRPS
NRPS_gcf_1556,NRPS
NRPS_gcf_1557,NRPS
NRPS_gcf_1558,NRPS
NRPS_gcf_1559,NRPS
NRPS_gcf_156,NRPS
NRPS_gcf_1560,NRPS
NRPS_gcf_1561,NRPS
NRPS_gcf_1562,NRPS
NRPS_gcf_1563,NRPS
NRPS_gcf_1564,NRPS
NRPS_gcf_1565,NRPS
NRPS_gcf_1566,NRPS
NRPS_gcf_1567,NRPS
NRPS_gcf_1568,NRPS
NRPS_gcf_1569,NRPS
NRPS_gcf_157,NRPS
NRPS_gcf_1570,NRPS
NRPS_gcf_1571,NRPS
NRPS_gcf_1572,NRPS
NRPS_gcf_1573,NRPS
NRPS_gcf_1574,NRPS
NRPS_gcf_1575,NRPS
NRPS_gcf_1576,NRPS
NRPS_gcf_1577,NRPS
NRPS_gcf_1578,NRPS
NRPS_gcf_1579,NRPS
NRPS_gcf_158,NRPS
NRPS_gcf_1580,NRPS
NRPS_gcf_1581,NRPS
NRPS_gcf_1582,NRPS
NRPS_gcf_1583,NRPS
NRPS_gcf_1584,NRPS
NRPS_gcf_1585,NRPS
NRPS_gcf_1586,NRPS
NRPS_gcf_1587,NRPS
NRPS_gcf_1588,NRPS
NRPS_gcf_1589,NRPS
NRPS_gcf_159,NRPS
NRPS_gcf_1590,NRPS
NRPS_gcf_1591,NRPS
NRPS_gcf_1592,NRPS
NRPS_gcf_1593,NRPS
NRPS_gcf_1594,NRPS
NRPS_gcf_1595,NRPS
NRPS_gcf_1596,NRPS
NRPS_gcf_1597,NRPS
NRPS_gcf_1598,NRPS
NRPS_gcf_1599,NRPS
NRPS_gcf_16,NRPS
NRPS_gcf_160,NRPS
NRPS_gcf_1600,NRPS
NRPS_gcf_1601,NRPS
NRPS_gcf_1602,NRPS
NRPS_gcf_1603,NRPS
NRPS_gcf_1604,NRPS
NRPS_gcf_1605,NRPS
NRPS_gcf_1606,NRPS
NRPS_gcf_1607,NRPS
NRPS_gcf_1608,NRPS
NRPS_gcf_1609,NRPS
NRPS_gcf_161,NRPS
NRPS_gcf_1610,NRPS
NRPS_gcf_1611,NRPS
NRPS_gcf_1612,NRPS
NRPS_gcf_1613,NRPS
NRPS_gcf_1614,NRPS
NRPS_gcf_1615,NRPS
NRPS_gcf_1616,NRPS
NRPS_gcf_1617,NRPS
NRPS_gcf_1618,NRPS
NRPS_gcf_1619,NRPS
NRPS_gcf_162,NRPS
NRPS_gcf_1620,NRPS
NRPS_gcf_1621,NRPS
NRPS_gcf_1622,NRPS
NRPS_gcf_1623,NRPS
NRPS_gcf_1624,NRPS
NRPS_gcf_1625,NRPS
NRPS_gcf_1626,NRPS
NRPS_gcf_1627,NRPS
NRPS_gcf_1628,NRPS
NRPS_gcf_1629,NRPS
NRPS_gcf_163,NRPS
NRPS_gcf_1630,NRPS
NRPS_gcf_1631,NRPS
NRPS_gcf_1632,NRPS
NRPS_gcf_1633,NRPS
NRPS_gcf_1634,NRPS
NRPS_gcf_1635,NRPS
NRPS_gcf_1636,NRPS
NRPS_gcf_1637,NRPS
NRPS_gcf_1638,NRPS
NRPS_gcf_1639,NRPS
NRPS_gcf_164,NRPS
NRPS_gcf_1640,NRPS
NRPS_gcf_1641,NRPS
NRPS_gcf_1642,NRPS
NRPS_gcf_1643,NRPS
NRPS_gcf_1644,NRPS
NRPS_gcf_1645,NRPS
NRPS_gcf_1646,NRPS
NRPS_gcf_1647,NRPS
NRPS_gcf_1648,NRPS
NRPS_gcf_1649,NRPS
NRPS_gcf_165,NRPS
NRPS_gcf_1650,NRPS
NRPS_gcf_1651,NRPS
NRPS_gcf_1652,NRPS
NRPS_gcf_1653,NRPS
NRPS_gcf_1654,NRPS
NRPS_gcf_1655,NRPS
NRPS_gcf_1656,NRPS
NRPS_gcf_1657,NRPS
NRPS_gcf_1658,NRPS
NRPS_gcf_1659,NRPS
NRPS_gcf_166,NRPS
NRPS_gcf_1660,NRPS
NRPS_gcf_1661,NRPS
NRPS_gcf_1662,NRPS
NRPS_gcf_1663,NRPS
NRPS_gcf_1664,NRPS
NRPS_gcf_1665,NRPS
NRPS_gcf_1666,NRPS
NRPS_gcf_1667,NRPS
NRPS_gcf_1668,NRPS
NRPS_gcf_1669,NRPS
NRPS_gcf_167,NRPS
